method,accuracy,macro_f1,weighted_f1,mcc,ece_10_bins,brier_score,mean_confidence,tune_split,tune_macro_f1_on_val,git_commit_sha,generated_at_utc,val_n,test_n
aw_baseline,0.8748696558915537,0.8647984652053613,0.8754496935662426,0.7715720748153458,0.04181541124087586,0.18121865507143758,0.9166850671324296,none,,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165749,479,959
zs_baseline,0.8832116788321168,0.883577944220483,0.884371899912633,0.800280555782886,0.023562487893639142,0.17618681818664694,0.8746345644734097,none,,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165749,479,959
ft_baseline,0.8894681960375391,0.8883937800129756,0.8886167785431289,0.7967348567457831,0.034392948206465046,0.15770039051879708,0.8861915185088634,none,,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165749,479,959
ensemble_simple_mean,0.8936392075078207,0.8940211103859156,0.8939539316360554,0.8071336757490717,0.03392083581612801,0.1530744621569745,0.8777861655366701,none,,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165749,479,959
ensemble_manual_aw0.50_zs0.30_ft0.20,0.886339937434828,0.8844609322995458,0.8866554299942028,0.7928220598803717,0.038870930955787336,0.15643653775049168,0.8836746743927006,a-priori,,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165749,479,959
ensemble_grid_val_aw0.40_zs0.60_ft0.00,0.8915537017726799,0.8952633672988499,0.8922688653515561,0.8078793100488751,0.027394430032116855,0.1595142984754192,0.8760420885430658,val,0.9098976258222683,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165749,479,959
ensemble_stacked_LR,0.8936392075078207,0.8924450157796374,0.894029553730974,0.8070521378961957,0.038241663475786045,0.15819377304230023,0.903638997773253,val,,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165749,479,959
