split,margin,accuracy,macro_f1,neutral_recall,neutral_to_positive_errors,positive_to_neutral_errors,overridden_count,ece_10_bins,brier_score,model_label,git_commit_sha,generated_at_utc,selected_margin,max_f1_drop_constraint
val,0.0,0.9039665970772442,0.8897687830948818,0.9372822299651568,15,17,0,0.025472318475991674,0.1524963505365767,aw,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165855,0.0,0.002
val,0.02,0.9039665970772442,0.8897687830948818,0.9372822299651568,15,17,0,0.025472318475991674,0.1524963505365767,aw,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165855,0.0,0.002
val,0.04,0.9039665970772442,0.8897687830948818,0.9372822299651568,15,17,0,0.025472318475991674,0.1524963505365767,aw,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165855,0.0,0.002
val,0.06,0.9018789144050104,0.8878216123499142,0.9372822299651568,15,18,1,0.02338463580375785,0.1524963505365767,aw,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165855,0.0,0.002
val,0.08,0.9018789144050104,0.8878216123499142,0.9372822299651568,15,18,1,0.02338463580375785,0.1524963505365767,aw,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165855,0.0,0.002
val,0.1,0.9018789144050104,0.8878216123499142,0.9372822299651568,15,18,1,0.02338463580375785,0.1524963505365767,aw,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165855,0.0,0.002
val,0.2,0.8977035490605428,0.8836322258398274,0.9407665505226481,14,21,5,0.01920927045929021,0.1524963505365767,aw,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165855,0.0,0.002
val,0.3,0.8914405010438413,0.8776475834418287,0.9407665505226481,14,24,8,0.023533253006263067,0.1524963505365767,aw,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165855,0.0,0.002
val,0.4,0.8872651356993737,0.8732769514921745,0.9442508710801394,13,27,12,0.02770861835073071,0.1524963505365767,aw,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165855,0.0,0.002
val,0.5,0.8830897703549061,0.8684359726295211,0.9512195121951219,11,31,18,0.03188398369519834,0.1524963505365767,aw,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165855,0.0,0.002
test,0.0,0.8748696558915537,0.8647984652053613,0.9041811846689896,51,42,0,0.04181541124087586,0.18121865507143758,aw,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165855,0.0,0.002
