class,precision,recall,f1,support
negative,0.9622641509433962,0.8571428571428571,0.9066666666666666,119
neutral,0.9229390681003584,0.8972125435540069,0.9098939929328621,574
positive,0.7966101694915254,0.8834586466165414,0.8377896613190731,266
