class,precision,recall,f1,support
negative,0.9180327868852459,0.9411764705882353,0.9294605809128631,119
neutral,0.9196428571428571,0.8972125435540069,0.908289241622575,574
positive,0.8050541516245487,0.8383458646616542,0.8213627992633518,266
