class,precision,recall,f1,support
negative,0.8727272727272727,0.40336134453781514,0.5517241379310345,119
neutral,0.7208053691275168,0.9355400696864111,0.8142532221379833,574
positive,0.6666666666666666,0.39849624060150374,0.4988235294117647,266
