model,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,weighted_precision,weighted_recall,mcc,cohen_kappa,brier_score,ece_10_bins,mean_confidence,dataset_name,dataset_file,split_source,benchmark_mode,train_plus_infer_seconds,train_rows,val_rows,test_rows,label_distribution_train,label_distribution_val,label_distribution_test,text_hash_leakage_count,seed,git_commit_sha
tfidf_linear_svm,0.7497393117831074,0.6940939383858322,0.7429403249719831,0.7345965038314176,0.6678388942226441,0.7446375010487457,0.7497393117831074,0.52524874842932,0.5207555970149254,,,,phrasebank,data/processed/gold/latest_gold_phrasebank_split.csv,controlled_gold_split,phrasebank_in_domain,0.2075693509541452,3353,479,959,"{""negative"": 414, ""neutral"": 2008, ""positive"": 931}","{""negative"": 59, ""neutral"": 287, ""positive"": 133}","{""negative"": 119, ""neutral"": 574, ""positive"": 266}",0,87,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e
tfidf_logistic_regression,0.7403545359749739,0.6838345924028509,0.7363730808769835,0.6949809716668716,0.6750592406410575,0.7347020512081935,0.7403545359749739,0.5169146712870739,0.5155022795381272,0.42499075198947794,0.17323265917900268,0.5671218767959714,phrasebank,data/processed/gold/latest_gold_phrasebank_split.csv,controlled_gold_split,phrasebank_in_domain,3.978053571889177,3353,479,959,"{""negative"": 414, ""neutral"": 2008, ""positive"": 931}","{""negative"": 59, ""neutral"": 287, ""positive"": 133}","{""negative"": 119, ""neutral"": 574, ""positive"": 266}",0,87,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e
tfidf_sgd_log_loss,0.7476538060479666,0.6782210834094847,0.7360095180974178,0.7263380069350219,0.6506024746227118,0.7402654940295206,0.7476538060479666,0.5173680361963006,0.5074358555319496,0.3780469102084892,0.10000343894027361,0.648189727618001,phrasebank,data/processed/gold/latest_gold_phrasebank_split.csv,controlled_gold_split,phrasebank_in_domain,0.24235622491687536,3353,479,959,"{""negative"": 414, ""neutral"": 2008, ""positive"": 931}","{""negative"": 59, ""neutral"": 287, ""positive"": 133}","{""negative"": 119, ""neutral"": 574, ""positive"": 266}",0,87,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e
tfidf_xgboost,0.7205422314911366,0.6216002964935942,0.6941851728305787,0.753399769507152,0.5791325516085767,0.7246404177967396,0.7205422314911366,0.45166295175515897,0.4201149788363131,0.3931086922436307,0.03205143873957572,0.7105295658111572,phrasebank,data/processed/gold/latest_gold_phrasebank_split.csv,controlled_gold_split,phrasebank_in_domain,4.858751544961706,3353,479,959,"{""negative"": 414, ""neutral"": 2008, ""positive"": 931}","{""negative"": 59, ""neutral"": 287, ""positive"": 133}","{""negative"": 119, ""neutral"": 574, ""positive"": 266}",0,87,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e
tfidf_random_forest,0.7153284671532847,0.5830003394128686,0.6814258428965775,0.7333436569728997,0.5466913337864029,0.7199326119967998,0.7153284671532847,0.43900649623191285,0.3985236885272265,0.3963329241759361,0.03111328774350564,0.7137827919006063,phrasebank,data/processed/gold/latest_gold_phrasebank_split.csv,controlled_gold_split,phrasebank_in_domain,1.8019681298173964,3353,479,959,"{""negative"": 414, ""neutral"": 2008, ""positive"": 931}","{""negative"": 59, ""neutral"": 287, ""positive"": 133}","{""negative"": 119, ""neutral"": 574, ""positive"": 266}",0,87,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e
tfidf_multinomial_nb,0.6517205422314911,0.39383223308991094,0.5717612132567826,0.6697786131996658,0.4135212493212946,0.6484358706986443,0.6517205422314911,0.27074368423745193,0.21223702785524912,0.4690837657899139,0.10558203151196408,0.7540505294153562,phrasebank,data/processed/gold/latest_gold_phrasebank_split.csv,controlled_gold_split,phrasebank_in_domain,0.16467200289480388,3353,479,959,"{""negative"": 414, ""neutral"": 2008, ""positive"": 931}","{""negative"": 59, ""neutral"": 287, ""positive"": 133}","{""negative"": 119, ""neutral"": 574, ""positive"": 266}",0,87,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e
majority_baseline,0.5985401459854015,0.2496194824961948,0.4482218444822184,0.19951338199513383,0.3333333333333333,0.35825030635622573,0.5985401459854015,0.0,0.0,0.8029197080291971,0.4014598540145985,1.0,phrasebank,data/processed/gold/latest_gold_phrasebank_split.csv,controlled_gold_split,phrasebank_in_domain,0.1547421000432223,3353,479,959,"{""negative"": 414, ""neutral"": 2008, ""positive"": 931}","{""negative"": 59, ""neutral"": 287, ""positive"": 133}","{""negative"": 119, ""neutral"": 574, ""positive"": 266}",0,87,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e
