model,experiment,dataset_name,benchmark_mode,seed,accuracy,macro_f1,weighted_f1,mcc,ece_10_bins,brier_score,mean_confidence,train_rows,val_rows,test_rows,text_hash_leakage_count,git_commit_sha,summary_file,seconds
majority_baseline,classical,phrasebank,phrasebank_in_domain,21,0.5985401459854015,0.2496194824961948,0.4482218444822184,0.0,0.4014598540145985,0.8029197080291971,1.0,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080510.csv,16.507584298029542
finbert_base_zero_shot_ProsusAI/finbert,finbert_zero_shot,phrasebank,phrasebank_in_domain,21,0.8832116788321168,0.883577944220483,0.884371899912633,0.800280555782886,0.0235624849734142,0.176186948733635,0.8746345639228821,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/finbert_baseline_summary_20260502_080530.csv,11.434537261957303
finbert_finetuned_ProsusAI/finbert,finbert_finetuned,phrasebank,phrasebank_in_domain,21,0.886339937434828,0.8863708739329299,0.8868053581064029,0.7953401245276365,0.0803784525431731,0.1896573522929524,0.9667183756828308,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/finbert_baseline_summary_20260502_080541.csv,82.10683032497764
tfidf_linear_svm,classical,phrasebank,phrasebank_in_domain,42,0.7497393117831074,0.6940939383858322,0.7429403249719831,0.52524874842932,,,,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080708.csv,16.627004456007853
tfidf_logistic_regression,classical,phrasebank,phrasebank_in_domain,42,0.7403545359749739,0.6838345924028509,0.7363730808769835,0.5169146712870739,0.1732326591790026,0.4249907519894779,0.5671218767959714,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080708.csv,16.627004456007853
tfidf_sgd_log_loss,classical,phrasebank,phrasebank_in_domain,42,0.7466110531803962,0.6754601917110339,0.7348335130455952,0.5157517338047606,0.0968430017551802,0.3774443127177517,0.649768051425216,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080708.csv,16.627004456007853
tfidf_xgboost,classical,phrasebank,phrasebank_in_domain,42,0.7205422314911366,0.6216002964935942,0.6941851728305787,0.4516629517551589,0.0320514387395757,0.3931086922436307,0.7105295658111572,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080708.csv,16.627004456007853
tfidf_random_forest,classical,phrasebank,phrasebank_in_domain,42,0.7184567257559958,0.5972230182050202,0.6868220413212514,0.4468035450485795,0.0416687129605386,0.3945077805575565,0.7140986812356093,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080708.csv,16.627004456007853
tfidf_multinomial_nb,classical,phrasebank,phrasebank_in_domain,42,0.6517205422314911,0.3938322330899109,0.5717612132567826,0.2707436842374519,0.105582031511964,0.4690837657899139,0.7540505294153562,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080708.csv,16.627004456007853
majority_baseline,classical,phrasebank,phrasebank_in_domain,42,0.5985401459854015,0.2496194824961948,0.4482218444822184,0.0,0.4014598540145985,0.8029197080291971,1.0,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080708.csv,16.627004456007853
finbert_base_zero_shot_ProsusAI/finbert,finbert_zero_shot,phrasebank,phrasebank_in_domain,42,0.8832116788321168,0.883577944220483,0.884371899912633,0.800280555782886,0.0235624849734142,0.176186948733635,0.8746345639228821,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/finbert_baseline_summary_20260502_080728.csv,11.489355853991583
finbert_finetuned_ProsusAI/finbert,finbert_finetuned,phrasebank,phrasebank_in_domain,42,0.8884254431699687,0.8847834403062006,0.889493780174838,0.7991310791502478,0.025483673537486,0.1660628469235641,0.8970699906349182,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/finbert_baseline_summary_20260502_080740.csv,86.99807330500335
tfidf_linear_svm,classical,phrasebank,phrasebank_in_domain,87,0.7497393117831074,0.6940939383858322,0.7429403249719831,0.52524874842932,,,,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080911.csv,15.671057672938332
tfidf_logistic_regression,classical,phrasebank,phrasebank_in_domain,87,0.7403545359749739,0.6838345924028509,0.7363730808769835,0.5169146712870739,0.1732326591790026,0.4249907519894779,0.5671218767959714,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080911.csv,15.671057672938332
tfidf_sgd_log_loss,classical,phrasebank,phrasebank_in_domain,87,0.7476538060479666,0.6782210834094847,0.7360095180974178,0.5173680361963006,0.1000034389402736,0.3780469102084892,0.648189727618001,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080911.csv,15.671057672938332
tfidf_xgboost,classical,phrasebank,phrasebank_in_domain,87,0.7205422314911366,0.6216002964935942,0.6941851728305787,0.4516629517551589,0.0320514387395757,0.3931086922436307,0.7105295658111572,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080911.csv,15.671057672938332
tfidf_random_forest,classical,phrasebank,phrasebank_in_domain,87,0.7153284671532847,0.5830003394128686,0.6814258428965775,0.4390064962319128,0.0311132877435056,0.3963329241759361,0.7137827919006063,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080911.csv,15.671057672938332
tfidf_multinomial_nb,classical,phrasebank,phrasebank_in_domain,87,0.6517205422314911,0.3938322330899109,0.5717612132567826,0.2707436842374519,0.105582031511964,0.4690837657899139,0.7540505294153562,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080911.csv,15.671057672938332
majority_baseline,classical,phrasebank,phrasebank_in_domain,87,0.5985401459854015,0.2496194824961948,0.4482218444822184,0.0,0.4014598540145985,0.8029197080291971,1.0,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080911.csv,15.671057672938332
finbert_base_zero_shot_ProsusAI/finbert,finbert_zero_shot,phrasebank,phrasebank_in_domain,87,0.8832116788321168,0.883577944220483,0.884371899912633,0.800280555782886,0.0235624849734142,0.176186948733635,0.8746345639228821,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/finbert_baseline_summary_20260502_080931.csv,11.639318216824904
finbert_finetuned_ProsusAI/finbert,finbert_finetuned,phrasebank,phrasebank_in_domain,87,0.8936392075078207,0.8901001771823989,0.8935175835550028,0.8059054834793138,0.0750859962141178,0.1832601706290486,0.9687252044677734,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/finbert_baseline_summary_20260502_080942.csv,81.49090719711967
tfidf_linear_svm,classical,phrasebank,phrasebank_in_domain,101,0.7497393117831074,0.6940939383858322,0.7429403249719831,0.52524874842932,,,,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_081109.csv,14.806914218934253
tfidf_logistic_regression,classical,phrasebank,phrasebank_in_domain,101,0.7403545359749739,0.6838345924028509,0.7363730808769835,0.5169146712870739,0.1732326591790026,0.4249907519894779,0.5671218767959714,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_081109.csv,14.806914218934253
tfidf_sgd_log_loss,classical,phrasebank,phrasebank_in_domain,101,0.7476538060479666,0.6778854935227393,0.7360535236133009,0.5181007967899032,0.1004774998076812,0.3784021156843603,0.6471763062402854,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_081109.csv,14.806914218934253
tfidf_xgboost,classical,phrasebank,phrasebank_in_domain,101,0.7205422314911366,0.6216002964935942,0.6941851728305787,0.4516629517551589,0.0320514387395757,0.3931086922436307,0.7105295658111572,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_081109.csv,14.806914218934253
tfidf_random_forest,classical,phrasebank,phrasebank_in_domain,101,0.721584984358707,0.5958781387033306,0.6888498531971505,0.4543249282489637,0.0392037232255821,0.3969649594391899,0.7137156624457199,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_081109.csv,14.806914218934253
tfidf_multinomial_nb,classical,phrasebank,phrasebank_in_domain,101,0.6517205422314911,0.3938322330899109,0.5717612132567826,0.2707436842374519,0.105582031511964,0.4690837657899139,0.7540505294153562,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_081109.csv,14.806914218934253
majority_baseline,classical,phrasebank,phrasebank_in_domain,101,0.5985401459854015,0.2496194824961948,0.4482218444822184,0.0,0.4014598540145985,0.8029197080291971,1.0,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_081109.csv,14.806914218934253
finbert_base_zero_shot_ProsusAI/finbert,finbert_zero_shot,phrasebank,phrasebank_in_domain,101,0.8832116788321168,0.883577944220483,0.884371899912633,0.800280555782886,0.0235624849734142,0.176186948733635,0.8746345639228821,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/finbert_baseline_summary_20260502_081128.csv,11.993656731909141
finbert_finetuned_ProsusAI/finbert,finbert_finetuned,phrasebank,phrasebank_in_domain,101,0.8873826903023984,0.8828036312698888,0.8879844947195267,0.7957124581081976,0.0768408384387759,0.185884928853645,0.9642234444618224,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/finbert_baseline_summary_20260502_081140.csv,88.10086614498869
