class,precision,recall,f1,support
negative,0.8,0.33613445378151263,0.47337278106508884,119
neutral,0.7171052631578947,0.9494773519163763,0.8170914542728634,574
positive,0.697986577181208,0.39097744360902253,0.5012048192771084,266
