class,precision,recall,f1,support
negative,0.7142857142857143,0.5462184873949579,0.6190476190476191,119
neutral,0.7724550898203593,0.8989547038327527,0.8309178743961353,574
positive,0.68,0.5112781954887218,0.5836909871244637,266
