class,precision,recall,f1,support
negative,0.7701149425287356,0.5630252100840336,0.6504854368932038,119
neutral,0.7828125,0.872822299651568,0.8253706754530478,574
positive,0.6508620689655172,0.5676691729323309,0.606425702811245,266
