class,precision,recall,f1,support
negative,0.6428571428571429,0.6050420168067226,0.6233766233766234,119
neutral,0.7937806873977087,0.8449477351916377,0.818565400843882,574
positive,0.6483050847457628,0.575187969924812,0.6095617529880478,266
