class,precision,recall,f1,support
negative,0.7191011235955056,0.5378151260504201,0.6153846153846154,119
neutral,0.7701492537313432,0.8989547038327527,0.8295819935691319,574
positive,0.68,0.5112781954887218,0.5836909871244637,266
