class,precision,recall,f1,support
negative,0.923728813559322,0.9159663865546218,0.9198312236286919,119
neutral,0.9117647058823529,0.9181184668989547,0.9149305555555555,574
positive,0.8403041825095057,0.8308270676691729,0.8355387523629489,266
