class,precision,recall,f1,support
negative,0.8,0.03361344537815126,0.06451612903225806,119
neutral,0.6654761904761904,0.9738675958188153,0.7906647807637907,574
positive,0.543859649122807,0.23308270676691728,0.32631578947368417,266
