class,precision,recall,f1,support
negative,0.48816827344434705,0.5091407678244972,0.4984340044742729,1094
neutral,0.5603799185888738,0.6699107866991079,0.6102696712227559,1233
positive,0.525918944392083,0.41363973313565605,0.46307053941908716,1349
