model,experiment,accuracy,macro_f1,weighted_f1,mcc,ece,brier_score,macro_precision,macro_recall,weighted_precision,weighted_recall,cohen_kappa,ece_10_bins,mean_confidence,seconds,min_weight,weight_schedule,seed,calibration_method,n_bins,top_k,used_agreement_weights,base_model,ablation_flags,train_plus_infer_seconds,train_rows,test_rows,device,model_name,mean_entropy,abstention_coverage,abstention_accuracy,structured_features_used
agreement_weighted_linear_svm,agreement_aware,0.4986398258977149,0.4768852627628722,0.4715765239276667,0.273349353430319,,,0.5236126963100195,0.5080470495598397,0.5280988711787273,0.4986398258977149,0.2545708351400944,,,1.0703005000250414,0.4,linear,42,,,,,,,,,,,,,,,
agreement_weighted_logistic_regression,agreement_aware,0.4779651795429815,0.4460745795294422,0.4376942467117091,0.250206070117194,,0.6510130413436753,0.5179619327815245,0.4917713723417925,0.5239523638400218,0.4779651795429815,0.2277707418869743,0.1019298976592834,0.579895077202265,3.154402200016193,0.4,linear,42,,,,,,,,,,,,,,,
unweighted_linear_svm,agreement_aware,0.5038084874863983,0.4840749095684636,0.4791461202906634,0.280054177661817,,,0.5287021499277248,0.5129479787892698,0.5333453523800544,0.5038084874863983,0.2620747741742283,,,1.080129300011322,0.4,linear,42,,,,,,,,,,,,,,,
unweighted_logistic_regression,agreement_aware,0.4825897714907508,0.4536672701976996,0.4456670667082162,0.2562316545419854,,0.6470492710105573,0.5229757616667611,0.4964640019434276,0.5292587986246131,0.4825897714907508,0.2347375791216047,0.0971489600847808,0.5789390512892718,2.9160436000092886,0.4,linear,42,,,,,,,,,,,,,,,
calibrated_linear_svm_sigmoid,calibration,0.5024483133841132,0.4847421314850557,0.4803593409947548,0.2760391802922786,,0.6833686385495369,0.5251994425934375,0.5110182210202409,0.529831454319744,0.5024483133841132,0.2597589951823918,0.2002927889734658,0.6999737896827621,1.837404899997637,,,42,sigmoid,10.0,,,,,,,,,,,,,
CARA_lite_svm,cara_lite,0.5038084874863983,0.4810670804661485,0.4756225792601803,0.2835678564056037,,0.6921604727173111,0.5363039903233502,0.513401811010958,0.5415211085831064,0.5038084874863983,0.2623951818351631,0.2133744200473868,0.7171054656536335,25.08580080000684,0.4,linear,42,,,3.0,True,svm,"retrieval=off,structured=on,agreement=on,calibration=on",,,,,,,,,
CARA_lite_svm,cara_lite_ablation,0.5038084874863983,0.4810670804661485,0.4756225792601803,0.2835678564056037,,0.6921604727173111,0.5363039903233502,0.513401811010958,0.5415211085831064,0.5038084874863983,0.2623951818351631,0.2133744200473868,0.7171054656536335,25.08580080000684,0.4,linear,42,,,3.0,True,svm,"retrieval=off,structured=on,agreement=on,calibration=on",,,,,,,,,
majority_baseline,classical_baselines,0.366974972796518,0.178971807628524,0.1970345227074637,0.0,,1.2660500544069642,0.1223249909321726,0.3333333333333333,0.1346706306590051,0.366974972796518,0.0,0.6330250272034821,1.0,,,,42,,,,,,,0.5076808000449091,8036.0,3676.0,,,,,,
tfidf_linear_svm,classical_baselines,0.5038084874863983,0.4840749095684636,0.4791461202906634,0.280054177661817,,,0.5287021499277248,0.5129479787892698,0.5333453523800544,0.5038084874863983,0.2620747741742283,,,,,,42,,,,,,,0.5666839000186883,8036.0,3676.0,,,,,,
tfidf_logistic_regression,classical_baselines,0.4825897714907508,0.4536672701976996,0.4456670667082162,0.2562316545419854,,0.6470492710105573,0.5229757616667611,0.4964640019434276,0.5292587986246131,0.4825897714907508,0.2347375791216047,0.0971489600847808,0.5789390512892718,,,,42,,,,,,,1.7929242000100205,8036.0,3676.0,,,,,,
tfidf_multinomial_nb,classical_baselines,0.441784548422198,0.3740100378840632,0.3829957558729197,0.1874490810475556,,0.7056814021931168,0.4771853628224046,0.4322883216611964,0.4774839496983307,0.441784548422198,0.1533677673636642,0.1928007777162429,0.6345853261384409,,,,42,,,,,,,0.5190322999842465,8036.0,3676.0,,,,,,
tfidf_random_forest,classical_baselines,0.4379760609357997,0.3858357716909697,0.3817048894298243,0.2034700776789698,,0.7012708257768105,0.5058736531153141,0.4413667847409376,0.5079177679492469,0.4379760609357997,0.1584380574106129,0.1950970257526296,0.6307081973159232,,,,42,,,,,,,11.64668049995089,8036.0,3676.0,,,,,,
