model,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,weighted_precision,weighted_recall,mcc,cohen_kappa,brier_score,ece_10_bins,mean_confidence,train_plus_infer_seconds,train_rows,test_rows,seed
tfidf_linear_svm,0.5038084874863983,0.4840749095684636,0.4791461202906634,0.5287021499277248,0.5129479787892698,0.5333453523800544,0.5038084874863983,0.280054177661817,0.2620747741742283,,,,0.5666839000186883,8036,3676,42
tfidf_logistic_regression,0.48258977149075083,0.4536672701976996,0.44566706670821626,0.5229757616667611,0.49646400194342766,0.5292587986246131,0.48258977149075083,0.25623165454198543,0.23473757912160476,0.6470492710105573,0.09714896008478088,0.5789390512892718,1.7929242000100203,8036,3676,42
tfidf_sgd_log_loss,0.46817192600652885,0.43685245792923344,0.4300606388979791,0.5031445099612485,0.47806042760242273,0.5074547685087692,0.46817192600652885,0.23304077293903888,0.20964928680618933,0.644629384861235,0.08905786776535274,0.5572297937718815,0.5425566000049002,8036,3676,42
tfidf_random_forest,0.43797606093579977,0.3858357716909697,0.3817048894298243,0.5058736531153141,0.44136678474093766,0.5079177679492469,0.43797606093579977,0.20347007767896988,0.1584380574106129,0.7012708257768105,0.19509702575262966,0.6307081973159232,11.64668049995089,8036,3676,42
tfidf_multinomial_nb,0.44178454842219805,0.3740100378840632,0.3829957558729197,0.4771853628224046,0.4322883216611964,0.47748394969833075,0.44178454842219805,0.18744908104755564,0.1533677673636642,0.7056814021931168,0.1928007777162429,0.6345853261384409,0.5190322999842465,8036,3676,42
tfidf_xgboost,0.41702937976060933,0.34568820658984273,0.3434459255784854,0.5677740199115419,0.4178593504684582,0.5719870398740278,0.41702937976060933,0.1937731762976494,0.1250667500690824,0.7136983644506503,0.1885490123997316,0.604773998260498,14.169415800017305,8036,3676,42
majority_baseline,0.366974972796518,0.17897180762852405,0.19703452270746377,0.12232499093217265,0.3333333333333333,0.1346706306590051,0.366974972796518,0.0,0.0,1.2660500544069642,0.6330250272034821,1.0,0.5076808000449091,8036,3676,42
