model,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,weighted_precision,weighted_recall,mcc,cohen_kappa,brier_score,ece_10_bins,mean_confidence,seconds,top_k,seed
no_retrieval_linear_svm,0.5038084874863983,0.4840749095684636,0.4791461202906634,0.5287021499277248,0.5129479787892698,0.5333453523800544,0.5038084874863983,0.280054177661817,0.2620747741742283,,,,0.5030910999630578,3,42
no_retrieval_logistic_regression,0.48258977149075083,0.4536672701976996,0.44566706670821626,0.5229757616667611,0.49646400194342766,0.5292587986246131,0.48258977149075083,0.25623165454198543,0.23473757912160476,0.6470492710105573,0.09714896008478088,0.5789390512892718,1.5612562000169419,3,42
retrieval_linear_svm,0.4575625680087051,0.44365559460824616,0.44080389594839964,0.4679698943973866,0.4642031794989688,0.4720198861142129,0.4575625680087051,0.20145092081608645,0.19245916351570935,,,,1.346782799984794,3,42
retrieval_logistic_regression,0.45674646354733406,0.4393203485917831,0.4338936635830726,0.47111288859907424,0.46774096029754536,0.4751909080611538,0.45674646354733406,0.20623975443165565,0.19498120793196017,0.6986236971141153,0.16656534816604376,0.618472114955657,2.429219599987846,3,42
