model,experiment,accuracy,macro_f1,weighted_f1,mcc,ece,brier_score,macro_precision,macro_recall,weighted_precision,weighted_recall,cohen_kappa,ece_10_bins,mean_confidence,seconds,min_weight,weight_schedule,seed,calibration_method,n_bins,top_k,used_agreement_weights,base_model,ablation_flags,train_plus_infer_seconds,train_rows,test_rows,device,model_name,mean_entropy,abstention_coverage,abstention_accuracy,structured_features_used
agreement_weighted_linear_svm,agreement_aware,0.5344398340248963,0.5039412997903564,0.5132249797750462,0.2984880548646578,,,0.5515794834431178,0.5206593516333995,0.5537773816627163,0.5344398340248963,0.2858403040861041,,,0.4827514000353403,0.4,linear,42,,,,,,,,,,,,,,,
agreement_weighted_logistic_regression,agreement_aware,0.5087136929460581,0.4713059239792998,0.4803438345905809,0.2721184522279005,,0.6363684262404491,0.5553356467966065,0.5019148017968376,0.5587700630337231,0.5087136929460581,0.2543418157491756,0.0952107698143186,0.5969882859138166,1.3110841999878176,0.4,linear,42,,,,,,,,,,,,,,,
unweighted_linear_svm,agreement_aware,0.5319502074688797,0.5025036071608552,0.511599480651982,0.2943457723151376,,,0.54534216438269,0.5187806613489121,0.5479196222155401,0.5319502074688797,0.2826040832095661,,,0.4901516999816522,0.4,linear,42,,,,,,,,,,,,,,,
unweighted_logistic_regression,agreement_aware,0.5120331950207468,0.4756892848969625,0.4843623052673501,0.2781849729200599,,0.6341997011344105,0.5577881413218067,0.5061741769695932,0.5613696363879795,0.5120331950207468,0.2601611160129269,0.0858878681712214,0.5967464382898248,1.1603080000495538,0.4,linear,42,,,,,,,,,,,,,,,
calibrated_linear_svm_sigmoid,calibration,0.5336099585062241,0.5058569449397606,0.515079660175858,0.2937192630945091,,0.641817280618769,0.5453990901094398,0.5181565117527369,0.5470788306600814,0.5336099585062241,0.2826286842595888,0.1525784398816058,0.6861883983878299,0.8070738999522291,,,42,sigmoid,10.0,,,,,,,,,,,,,
CARA_lite_logreg,cara_lite,0.4995850622406639,0.4639595427075717,0.4773298600207795,0.2372333329004862,,0.6807725904049196,0.4880553030292949,0.4788986167061664,0.4939551046856354,0.4995850622406639,0.2286252062158827,0.1625098573967847,0.6575878044547212,32.03643700003158,0.4,linear,42,,,3.0,True,logreg,"retrieval=on,structured=on,agreement=on,calibration=on",,,,,,,,,
CARA_lite_logreg,cara_lite_ablation,0.4995850622406639,0.4639595427075717,0.4773298600207795,0.2372333329004862,,0.6807725904049196,0.4880553030292949,0.4788986167061664,0.4939551046856354,0.4995850622406639,0.2286252062158827,0.1625098573967847,0.6575878044547212,32.03643700003158,0.4,linear,42,,,3.0,True,logreg,"retrieval=on,structured=on,agreement=on,calibration=on",,,,,,,,,
majority_baseline,classical_baselines,0.3136929460580913,0.1591914087176247,0.1498116659633083,0.0,,1.3726141078838174,0.1045643153526971,0.3333333333333333,0.0984032644066045,0.3136929460580913,0.0,0.6863070539419087,1.0,,,,42,,,,,,,0.434219499991741,11439.0,1205.0,,,,,,
tfidf_linear_svm,classical_baselines,0.5319502074688797,0.5025036071608552,0.511599480651982,0.2943457723151376,,,0.54534216438269,0.5187806613489121,0.5479196222155401,0.5319502074688797,0.2826040832095661,,,,,,42,,,,,,,0.5046558000030927,11439.0,1205.0,,,,,,
tfidf_logistic_regression,classical_baselines,0.5120331950207468,0.4756892848969625,0.4843623052673501,0.2781849729200599,,0.6341997011344105,0.5577881413218067,0.5061741769695932,0.5613696363879795,0.5120331950207468,0.2601611160129269,0.0858878681712214,0.5967464382898248,,,,42,,,,,,,1.256297199986875,11439.0,1205.0,,,,,,
tfidf_multinomial_nb,classical_baselines,0.4705394190871369,0.3867456328028729,0.411798523501429,0.179808286303385,,0.6828903843689772,0.4783607930280376,0.4251145314508981,0.4770110114517564,0.4705394190871369,0.1537241355776227,0.185336143545086,0.6558755626322229,,,,42,,,,,,,0.4629019999993033,11439.0,1205.0,,,,,,
tfidf_random_forest,classical_baselines,0.4962655601659751,0.440415203924422,0.4561161339471675,0.2304729824899619,,0.6400664240971806,0.5321900443664375,0.459824827957622,0.5282382532922826,0.4962655601659751,0.2008332176997029,0.1145013877877156,0.6055608621998871,,,,42,,,,,,,13.67651699995622,11439.0,1205.0,,,,,,
tfidf_sgd_log_loss,classical_baselines,0.5103734439834025,0.4701580929182197,0.4806620552824633,0.2618054423945262,,0.6231170865481126,0.5355155107477089,0.4944760531632792,0.5371275911375856,0.5103734439834025,0.2466619266254333,0.0370727732324916,0.5448865526637077,,,,42,,,,,,,0.4819696000195108,11439.0,1205.0,,,,,,
tfidf_xgboost,classical_baselines,0.4713692946058091,0.3799469926631662,0.4001011542746589,0.2004604263253318,,0.6600064881229111,0.579742023272615,0.4235051171350463,0.5682535206815933,0.4713692946058091,0.1440005263674402,0.11172312401637,0.5830923914909363,,,,42,,,,,,,18.151511100004427,11439.0,1205.0,,,,,,
finbert_base_zero_shot_ProsusAI/finbert,finbert,0.5280195865070729,0.5239247383720387,0.5229682979295052,0.2949504955456311,,0.7424740764955814,0.5248223788084346,0.5308970958864204,0.5262429778980188,0.5280195865070729,0.2926057712346874,0.3069640202559247,0.8347788453102112,,,,42,,,,,,,,,3676.0,cpu,ProsusAI/finbert,0.4571610987186432,0.9009793253536452,0.5480072463768116,
no_retrieval_linear_svm,retrieval,0.5319502074688797,0.5025036071608552,0.511599480651982,0.2943457723151376,,,0.54534216438269,0.5187806613489121,0.5479196222155401,0.5319502074688797,0.2826040832095661,,,0.5220799000235274,,,42,,,3.0,,,,,,,,,,,,
no_retrieval_logistic_regression,retrieval,0.5120331950207468,0.4756892848969625,0.4843623052673501,0.2781849729200599,,0.6341997011344105,0.5577881413218067,0.5061741769695932,0.5613696363879795,0.5120331950207468,0.2601611160129269,0.0858878681712214,0.5967464382898248,1.2057394000003114,,,42,,,3.0,,,,,,,,,,,,
retrieval_linear_svm,retrieval,0.4713692946058091,0.4469233580743748,0.4570244423539516,0.1986646500908276,,,0.4705122425000671,0.4589895820515976,0.476618564087671,0.4713692946058091,0.1928178736076993,,,1.2913805999560282,,,42,,,3.0,,,,,,,,,,,,
retrieval_logistic_regression,retrieval,0.4639004149377593,0.4389662010958491,0.4474937560571175,0.2003948058272534,,0.6941144819379127,0.4764865341040874,0.4594015207850732,0.4842516428830167,0.4639004149377593,0.190914561833302,0.1682882042316084,0.6321886191693679,1.895612100022845,,,42,,,3.0,,,,,,,,,,,,
tfidf_linear_svm,structured_features,0.5319502074688797,0.5025036071608552,0.511599480651982,0.2943457723151376,,,0.54534216438269,0.5187806613489121,0.5479196222155401,0.5319502074688797,0.2826040832095661,,,0.0804591999622061,,,42,,,,,,,,,,,,,,,False
tfidf_logistic_regression,structured_features,0.5120331950207468,0.4756892848969625,0.4843623052673501,0.2781849729200599,,0.6341997011344105,0.5577881413218067,0.5061741769695932,0.5613696363879795,0.5120331950207468,0.2601611160129269,0.0858878681712214,0.5967464382898248,0.7374363000271842,,,42,,,,,,,,,,,,,,,False
tfidf_structured_linear_svm,structured_features,0.5369294605809128,0.5050425513925648,0.5143011996909711,0.3023813930914052,,,0.555855856127802,0.5226251999507814,0.5574762480625962,0.5369294605809128,0.2888471940035515,,,2.4334351999568757,,,42,,,,,,,,,,,,,,,True
tfidf_structured_logistic_regression,structured_features,0.5236514522821577,0.4810510170433906,0.4915825016611345,0.2912918077400514,,0.6339939270118111,0.5518190050958866,0.512838311372184,0.5558640087475538,0.5236514522821577,0.2736389985717886,0.1044720546716572,0.6258584592776422,2.998626999964472,,,42,,,,,,,,,,,,,,,True
