model,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,weighted_precision,weighted_recall,mcc,cohen_kappa,brier_score,ece_10_bins,mean_confidence,seconds,min_weight,weight_schedule,seed
unweighted_linear_svm,0.5038084874863983,0.4840749095684636,0.4791461202906634,0.5287021499277248,0.5129479787892698,0.5333453523800544,0.5038084874863983,0.280054177661817,0.2620747741742283,,,,1.080129300011322,0.4,linear,42
agreement_weighted_linear_svm,0.4986398258977149,0.4768852627628722,0.4715765239276667,0.5236126963100195,0.5080470495598397,0.5280988711787273,0.4986398258977149,0.273349353430319,0.2545708351400944,,,,1.0703005000250414,0.4,linear,42
unweighted_logistic_regression,0.48258977149075083,0.4536672701976996,0.44566706670821626,0.5229757616667611,0.49646400194342766,0.5292587986246131,0.48258977149075083,0.25623165454198543,0.23473757912160476,0.6470492710105573,0.09714896008478088,0.5789390512892718,2.9160436000092886,0.4,linear,42
agreement_weighted_logistic_regression,0.4779651795429815,0.44607457952944224,0.43769424671170915,0.5179619327815245,0.4917713723417925,0.5239523638400218,0.4779651795429815,0.250206070117194,0.22777074188697433,0.6510130413436753,0.1019298976592834,0.579895077202265,3.154402200016193,0.4,linear,42
