family,model_id,checkpoint_path,n,accuracy,macro_f1,weighted_f1,mcc,ece_10_bins,brier_score,native_id2label,canonical_remap,polarity_corrected_source,git_commit_sha,generated_at_utc
finbert_zero_shot,ProsusAI/finbert,,223,0.4663677130044843,0.45667607611224764,0.5374903429248207,0.3391276752934148,0.33212916706709583,0.7986720982087645,"{""0"": ""positive"", ""1"": ""negative"", ""2"": ""neutral""}","[1, 2, 0]",data\processed\gold\latest_gold_fiqa_split_polarity_corrected.csv,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165943
finbert_fine_tuned,models/finbert_20260501_193637,models/finbert_20260501_193637,223,0.36771300448430494,0.384952285283777,0.4530816476836347,0.2991627839282408,0.45329670628090074,0.9986324695592963,"{""0"": ""positive"", ""1"": ""negative"", ""2"": ""neutral""}","[1, 2, 0]",data\processed\gold\latest_gold_fiqa_split_polarity_corrected.csv,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165943
finbert_agreement_weighted,models/finbert_agreement_weighted_linear_20260502_145813/checkpoint-210,models/finbert_agreement_weighted_linear_20260502_145813/checkpoint-210,223,0.32286995515695066,0.33915301725377844,0.39552341309636235,0.25247247372826515,0.5320368342335449,1.1144687552613959,"{""0"": ""positive"", ""1"": ""negative"", ""2"": ""neutral""}","[1, 2, 0]",data\processed\gold\latest_gold_fiqa_split_polarity_corrected.csv,36dae7f7408731430d3806d2a5218af7a1dacf7c,20260502_165943
