threshold,coverage,abstention_rate,accuracy_on_kept,macro_f1_on_kept,kept_count,abstained_count,model,dataset_name
0.0,1.0,0.0,0.8873826903023984,0.8828036312698888,959,0,finbert_zero_shot,phrasebank
0.05,1.0,0.0,0.8873826903023984,0.8828036312698888,959,0,finbert_zero_shot,phrasebank
0.1,1.0,0.0,0.8873826903023984,0.8828036312698888,959,0,finbert_zero_shot,phrasebank
0.15,1.0,0.0,0.8873826903023984,0.8828036312698888,959,0,finbert_zero_shot,phrasebank
0.2,1.0,0.0,0.8873826903023984,0.8828036312698888,959,0,finbert_zero_shot,phrasebank
0.25,1.0,0.0,0.8873826903023984,0.8828036312698888,959,0,finbert_zero_shot,phrasebank
0.3,1.0,0.0,0.8873826903023984,0.8828036312698888,959,0,finbert_zero_shot,phrasebank
0.35,1.0,0.0,0.8873826903023984,0.8828036312698888,959,0,finbert_zero_shot,phrasebank
0.4,1.0,0.0,0.8873826903023984,0.8828036312698888,959,0,finbert_zero_shot,phrasebank
0.45,1.0,0.0,0.8873826903023984,0.8828036312698888,959,0,finbert_zero_shot,phrasebank
0.5,1.0,0.0,0.8873826903023984,0.8828036312698888,959,0,finbert_zero_shot,phrasebank
0.55,0.9906152241918665,0.009384775808133461,0.8905263157894737,0.8861491665089867,950,9,finbert_zero_shot,phrasebank
0.6,0.9812304483837331,0.018769551616266922,0.895855472901169,0.8944786477739642,941,18,finbert_zero_shot,phrasebank
0.65,0.9687174139728885,0.031282586027111536,0.898815931108719,0.8985287989360455,929,30,finbert_zero_shot,phrasebank
0.7,0.9624608967674662,0.037539103232533844,0.9024918743228603,0.9034391636968243,923,36,finbert_zero_shot,phrasebank
0.75,0.9520333680917622,0.0479666319082378,0.9090909090909091,0.9110610940321084,913,46,finbert_zero_shot,phrasebank
0.8,0.9363920750782064,0.06360792492179357,0.9131403118040089,0.9154054959805906,898,61,finbert_zero_shot,phrasebank
0.85,0.9280500521376434,0.07194994786235664,0.9168539325842696,0.9193423554453228,890,69,finbert_zero_shot,phrasebank
0.9,0.9071949947862357,0.09280500521376434,0.9229885057471264,0.925717817774062,870,89,finbert_zero_shot,phrasebank
0.95,0.8602711157455682,0.13972888425443175,0.936969696969697,0.9385738786709285,825,134,finbert_zero_shot,phrasebank
