dataset_name,benchmark_mode,experiment,model,n_seeds,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_ece_10_bins,std_ece_10_bins,mean_brier_score,std_brier_score,mean_latency_or_seconds,research_grade
phrasebank,phrasebank_in_domain,agreement_weighted,finbert_agreement_weighted,5,0.8886339937434828,0.0020057751889125466,0.8862817816589805,0.002265359657384873,0.04954221931687234,0.02209437591009761,0.1712797534439468,0.010483224118713112,,True
phrasebank,phrasebank_in_domain,finbert_zero_shot,finbert_base_zero_shot_ProsusAI/finbert,5,0.8832116788321168,0.0,0.883577944220483,0.0,0.02356248927972326,7.354422813937091e-09,0.17618691145354978,6.366786621410476e-08,,True
phrasebank,phrasebank_in_domain,finbert_finetuned,finbert_finetuned_ProsusAI/finbert,5,0.8859228362877998,0.007321580680518013,0.8820644895866895,0.009229049761955549,0.06082726843787182,0.023983491037515254,0.18098922587061034,0.009053776612667652,,True
phrasebank,phrasebank_in_domain,classical,tfidf_linear_svm,6,0.7497393117831074,0.0,0.6940939383858322,0.0,,0.0,,0.0,,True
phrasebank,phrasebank_in_domain,classical,tfidf_logistic_regression,6,0.7403545359749739,0.0,0.6838345924028509,0.0,0.17323265917907862,9.016990773453515e-14,0.4249907519897488,3.2124126237476814e-13,,True
phrasebank,phrasebank_in_domain,classical,tfidf_sgd_log_loss,6,0.7471903603290464,0.001057136345203026,0.6772725275943501,0.0023830121265014403,0.09878801577166117,0.0016361988953872272,0.3776903663659209,0.00033192493418633055,,True
phrasebank,phrasebank_in_domain,classical,tfidf_xgboost,6,0.7205422314911366,0.0,0.6216002964935942,0.0,0.0320514387395757,0.0,0.3931086922436307,0.0,,True
phrasebank,phrasebank_in_domain,classical,tfidf_random_forest,6,0.7178774186073456,0.0030001175706694558,0.5901964957311837,0.006659429753037393,0.04155750340821047,0.004438977434631447,0.39537570593416693,0.0009090301168856726,,True
phrasebank,phrasebank_in_domain,classical,tfidf_multinomial_nb,6,0.6517205422314911,0.0,0.3938322330899109,0.0,0.105582031511964,0.0,0.4690837657899139,0.0,,True
phrasebank,phrasebank_in_domain,classical,majority_baseline,6,0.5985401459854015,0.0,0.24961948249619484,2.943923360032078e-17,0.4014598540145985,0.0,0.8029197080291971,0.0,,True
